date;year;tx;tn;rhx;rhn;rs;et0;station
2000-12-26;2000;15.21;10.32;98.1;78.6;4.517;0.6843803506402225;COR06
2000-12-27;2000;15.23;7.49;96.6;50.76;6.779;1.2244041603794291;COR06
2000-12-28;2000;14.48;5.9510000000000005;97.7;87.4;1.003;0.5887389944567996;COR06
2000-12-29;2000;14.62;10.72;94.6;79.9;3.88;0.758597058748779;COR06
2000-12-30;2000;17.36;8.03;96.0;46.04;7.82;1.5744253724859296;COR06
2000-12-31;2000;14.47;5.816;96.7;69.11;8.95;0.5318735585896255;COR06
2001-01-01;2001;14.69;6.221;97.2;78.6;3.277;0.7332702132056012;COR06
2001-01-02;2001;16.69;7.36;97.5;63.16;9.39;0.960978540296884;COR06
2001-01-03;2001;14.94;6.761;97.9;71.6;7.76;0.6081748561130736;COR06
2001-01-04;2001;16.76;13.41;97.2;81.2;2.78;0.7486153171807448;COR06
2001-01-05;2001;16.76;13.61;97.0;78.0;0.8909999999999999;0.8069475187482349;COR06
2001-01-06;2001;15.76;6.221;96.6;59.6;6.195;1.0900927396013758;COR06
2001-01-07;2001;12.06;2.794;98.1;63.59;10.69;0.5780148774112195;COR06
2001-01-10;2001;14.96;8.63;98.1;76.6;1.384;0.6279332176589859;COR06
2001-01-11;2001;13.74;9.11;96.5;69.25;2.251;0.9236994867680136;COR06
2001-01-12;2001;13.61;8.43;96.5;72.1;5.622000000000001;0.6755489607500714;COR06
2001-01-13;2001;16.02;4.263999999999999;97.8;62.82;10.4;0.7101683017805152;COR06
2001-01-14;2001;10.52;5.142;98.7;80.9;2.379;0.5256025974056422;COR06
2001-01-15;2001;10.32;5.9510000000000005;96.6;74.0;2.213;0.5842407099385505;COR06
2001-01-16;2001;10.66;4.737;98.0;79.7;3.79;0.5386962471995452;COR06
2001-01-17;2001;12.93;6.557;97.9;66.01;8.45;0.7749308952701623;COR06
2001-01-18;2001;12.93;6.4910000000000005;97.3;81.8;2.755;0.6320368638106724;COR06
2001-01-19;2001;15.27;6.4910000000000005;96.7;52.78;11.7;1.0442407604863988;COR06
2001-01-20;2001;14.47;3.132;98.5;59.46;11.84;0.9079119894489792;COR06
2001-01-21;2001;15.27;3.132;97.7;50.96;11.46;1.038864024189002;COR06
2001-01-22;2001;12.75;2.592;97.7;74.1;5.306;0.6453090700160649;COR06
2001-01-23;2001;16.64;12.06;97.6;84.0;1.834;0.7560266210450146;COR06
2001-01-24;2001;16.04;12.66;96.4;84.4;2.402;0.870984375278072;COR06
2001-01-25;2001;14.82;6.289;97.0;61.22;6.9060000000000015;1.0249651312272248;COR06
